Section,Metric,Value
KPIs,Total patients,2
KPIs,Appointments today,3
KPIs,Queue waiting,2
KPIs,Revenue today,0
KPIs,Revenue month,0
KPIs,Outstanding,0
KPIs,Low stock count,1
Health,Utilization %,0
Health,Collection %,100
Health,No-show %,0

Revenue trend,Date,Amount
,2026-06-13,0
,2026-06-14,0
,2026-06-15,0
,2026-06-16,0
,2026-06-17,0
,2026-06-18,0
,2026-06-19,0

Appointment trend,Date,Count
,2026-06-13,0
,2026-06-14,0
,2026-06-15,0
,2026-06-16,0
,2026-06-17,0
,2026-06-18,0
,2026-06-19,3

Patient growth,Date,New patients
,2026-06-13,0
,2026-06-14,0
,2026-06-15,0
,2026-06-16,0
,2026-06-17,0
,2026-06-18,2
,2026-06-19,0
