sequence|gate|exact_command|started_utc|ended_utc|duration_seconds|exit_code|suites|tests|classification|raw_file
1|R19_UNIT|npx jest --config jest.config.cjs --runInBand --forceExit --testPathPattern wave-f-round19-refund-complete-set.unit|2026-08-22T15:57:51.0795958Z|2026-08-22T15:58:33.3454231Z|42.262|0|1 passed, 1 total|19 passed, 19 total|PASS|01_R19_UNIT.txt
2|R19_POSTGRES|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round19.postgres.integration|2026-08-22T15:58:33.3639356Z|2026-08-22T15:58:49.8229890Z|16.46|0|1 passed, 1 total|6 passed, 6 total|PASS|02_R19_POSTGRES.txt
3|R18_UNIT|npx jest --config jest.config.cjs --runInBand --forceExit --testPathPattern wave-f-round18-refund-complete-set.unit|2026-08-22T15:58:49.8269854Z|2026-08-22T15:58:58.3871378Z|8.561|0|1 passed, 1 total|10 passed, 10 total|PASS|03_R18_UNIT.txt
4|R18_POSTGRES|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round18.postgres.integration|2026-08-22T15:58:58.3911313Z|2026-08-22T15:59:32.8808526Z|34.49|0|1 passed, 1 total|4 passed, 4 total|PASS|04_R18_POSTGRES.txt
5|R17_UNIT|npx jest --config jest.config.cjs --runInBand --forceExit --testPathPattern wave-f-round17-refund-complete-set.unit|2026-08-22T15:59:32.8843639Z|2026-08-22T15:59:40.9585690Z|8.074|0|1 passed, 1 total|14 passed, 14 total|PASS|05_R17_UNIT.txt
6|R17_POSTGRES|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round17.postgres.integration|2026-08-22T15:59:40.9615561Z|2026-08-22T16:02:20.7010300Z|159.739|0|1 passed, 1 total|10 passed, 10 total|PASS|06_R17_POSTGRES.txt
7|R16_UNIT|npx jest --config jest.config.cjs --runInBand --forceExit --testPathPattern wave-f-round16-refund-complete-set.unit|2026-08-22T16:02:20.7050641Z|2026-08-22T16:02:30.4602304Z|9.755|0|1 passed, 1 total|11 passed, 11 total|PASS|07_R16_UNIT.txt
8|R16_POSTGRES|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round16.postgres.integration|2026-08-22T16:02:30.4632402Z|2026-08-22T16:02:58.9017892Z|28.438|0|1 passed, 1 total|22 passed, 22 total|PASS|08_R16_POSTGRES.txt
9|R15_UNIT|npx jest --config jest.config.cjs --runInBand --forceExit --testPathPattern wave-f-round15-refund-complete-set.unit|2026-08-22T16:02:58.9067907Z|2026-08-22T16:03:08.7429197Z|9.836|0|1 passed, 1 total|7 passed, 7 total|PASS|09_R15_UNIT.txt
10|R15_POSTGRES|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round15.postgres.integration|2026-08-22T16:03:08.7459186Z|2026-08-22T16:03:21.3432891Z|12.597|0|1 passed, 1 total|20 passed, 20 total|PASS|10_R15_POSTGRES.txt
11|R14_POSTGRES|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round14.postgres.integration|2026-08-22T16:03:21.3462792Z|2026-08-22T16:03:32.4189138Z|11.073|0|1 passed, 1 total|10 passed, 10 total|PASS|11_R14_POSTGRES.txt
12|R14_UNIT|npx jest --config jest.config.cjs --runInBand --forceExit --testPathPattern wave-f-round14-complete-set.unit|2026-08-22T16:03:32.4224468Z|2026-08-22T16:03:39.6565531Z|7.234|0|1 passed, 1 total|9 passed, 9 total|PASS|12_R14_UNIT.txt
13|R13_UNIT|npx jest --config jest.config.cjs --runInBand --forceExit --testPathPattern wave-f-round13-complete-set.unit|2026-08-22T16:03:39.6585493Z|2026-08-22T16:03:47.4192590Z|7.76|0|1 passed, 1 total|8 passed, 8 total|PASS|13_R13_UNIT.txt
14|R13_POSTGRES|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round13.postgres.integration|2026-08-22T16:03:47.4242603Z|2026-08-22T16:03:58.7711943Z|11.346|0|1 passed, 1 total|10 passed, 10 total|PASS|14_R13_POSTGRES.txt
15|R12|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round12.postgres.integration|2026-08-22T16:03:58.7741919Z|2026-08-22T16:04:12.2922730Z|13.518|0|1 passed, 1 total|19 passed, 19 total|PASS|15_R12.txt
16|R11|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round11.postgres.integration|2026-08-22T16:04:12.2962766Z|2026-08-22T16:04:24.8887402Z|12.592|0|1 passed, 1 total|16 passed, 16 total|PASS|16_R11.txt
17|R10|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round10.postgres.integration|2026-08-22T16:04:24.8917340Z|2026-08-22T16:04:37.0677527Z|12.176|0|1 passed, 1 total|15 passed, 15 total|PASS|17_R10.txt
18|R9|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round9.postgres.integration|2026-08-22T16:04:37.0703304Z|2026-08-22T16:04:52.6044905Z|15.533|0|1 passed, 1 total|28 passed, 28 total|PASS|18_R9.txt
19|R8|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round8.postgres.integration|2026-08-22T16:04:52.6082767Z|2026-08-22T16:05:05.0860434Z|12.478|0|1 passed, 1 total|19 passed, 19 total|PASS|19_R8.txt
20|R7|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round7.postgres.integration|2026-08-22T16:05:05.0900272Z|2026-08-22T16:05:16.0882629Z|10.998|0|1 passed, 1 total|9 passed, 9 total|PASS|20_R7.txt
21|R6|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round6.postgres.integration|2026-08-22T16:05:16.0912503Z|2026-08-22T16:05:27.2692183Z|11.178|0|1 passed, 1 total|14 passed, 14 total|PASS|21_R6.txt
22|R5|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round5.postgres.integration|2026-08-22T16:05:27.2722640Z|2026-08-22T16:05:38.5304525Z|11.258|0|1 passed, 1 total|21 passed, 21 total|PASS|22_R5.txt
23|R4|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round4.postgres.integration|2026-08-22T16:05:38.5366408Z|2026-08-22T16:05:51.2177311Z|12.681|0|1 passed, 1 total|27 passed, 27 total|PASS|23_R4.txt
24|R3|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round3.postgres.integration|2026-08-22T16:05:51.2217500Z|2026-08-22T16:06:04.7401500Z|13.519|0|1 passed, 1 total|47 passed, 47 total|PASS|24_R3.txt
25|R2|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round2.postgres.integration|2026-08-22T16:06:04.7441519Z|2026-08-22T16:06:16.3956184Z|11.652|0|1 passed, 1 total|22 passed, 22 total|PASS|25_R2.txt
26|R1|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-round1.postgres.integration|2026-08-22T16:06:16.4001218Z|2026-08-22T16:06:27.5769673Z|11.177|0|1 passed, 1 total|26 passed, 26 total|PASS|26_R1.txt
27|WAVE_F_POSTGRES|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern "wave-f-"|2026-08-22T16:06:27.5809684Z|2026-08-22T16:10:45.7926491Z|258.212|0|22 passed, 22 total|374 passed, 374 total|PASS|27_WAVE_F_POSTGRES.txt
28|WAVE_F_UNIT|npx jest --config jest.config.cjs --runInBand --forceExit --testPathPattern "wave-f-money|wave-f-round13-complete-set|wave-f-round14-complete-set|wave-f-round15-refund-complete-set|wave-f-round16-refund-complete-set|wave-f-round17-refund-complete-set|wave-f-round18-refund-complete-set|wave-f-round19-refund-complete-set"|2026-08-22T16:10:45.7976408Z|2026-08-22T16:11:30.7766264Z|44.979|0|8 passed, 8 total|88 passed, 88 total|PASS|28_WAVE_F_UNIT.txt
29|WAVE_F_RLS|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-rls.postgres|2026-08-22T16:11:30.7806299Z|2026-08-22T16:11:39.9131020Z|9.132|0|1 passed, 1 total|14 passed, 14 total|PASS|29_WAVE_F_RLS.txt
30|WAVE_F_HTTP|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-f-http.postgres|2026-08-22T16:11:39.9165892Z|2026-08-22T16:11:50.4825225Z|10.565|0|1 passed, 1 total|2 passed, 2 total|PASS|30_WAVE_F_HTTP.txt
31|PERMISSION_ROUTES|node scripts/validate-phase48-wave-f-permission-routes.mjs|2026-08-22T16:11:50.4860505Z|2026-08-22T16:11:52.8569016Z|2.372|0|||PASS|31_PERMISSION_ROUTES.txt
32|PKG_PERM|npm test|2026-08-22T16:11:52.8616095Z|2026-08-22T16:11:54.6219786Z|1.76|0|||PASS|32_PKG_PERM.txt
33|MIGRATION_CLEAN|node scripts/validate-phase48-wave-f-clean.mjs|2026-08-22T16:11:54.6269707Z|2026-08-22T16:11:58.8503006Z|4.223|0|||PASS|33_MIGRATION_CLEAN.txt
34|MIGRATION_UPGRADE|node scripts/validate-phase48-wave-f-upgrade.mjs|2026-08-22T16:11:58.8674238Z|2026-08-22T16:12:09.3139652Z|10.446|0|||PASS|34_MIGRATION_UPGRADE.txt
35|PRIOR_A|npx jest --config jest.config.cjs --runInBand --forceExit --testPathPattern clinical-price.unit|2026-08-22T16:12:09.3169694Z|2026-08-22T16:12:17.9337765Z|8.616|0|1 passed, 1 total|11 passed, 11 total|PASS|35_PRIOR_A.txt
36|PRIOR_B|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern "wave-b-"|2026-08-22T16:12:17.9377889Z|2026-08-22T16:13:06.3757642Z|48.438|0|12 passed, 12 total|268 passed, 268 total|PASS|36_PRIOR_B.txt
37|PRIOR_C|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern "wave-c-"|2026-08-22T16:13:06.3797537Z|2026-08-22T16:13:25.5028031Z|19.123|0|13 passed, 13 total|206 passed, 206 total|PASS|37_PRIOR_C.txt
38|PRIOR_D|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern "wave-d-"|2026-08-22T16:13:25.5068165Z|2026-08-22T16:13:40.4241114Z|14.917|0|6 passed, 6 total|69 passed, 69 total|PASS|38_PRIOR_D.txt
39|PRIOR_D_UNIT|npx jest --config jest.config.cjs --runInBand --forceExit --testPathPattern "wave-d-lab-transitions|pricing-unit-applicability"|2026-08-22T16:13:40.4271118Z|2026-08-22T16:13:49.1324762Z|8.705|0|2 passed, 2 total|14 passed, 14 total|PASS|39_PRIOR_D_UNIT.txt
40|PRIOR_D_RLS|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern "wave-d-rls"|2026-08-22T16:13:49.1355569Z|2026-08-22T16:13:57.9873570Z|8.851|0|1 passed, 1 total|16 passed, 16 total|PASS|40_PRIOR_D_RLS.txt
41|PRIOR_E_R3|npx jest --config jest.integration.config.cjs --runInBand --forceExit --testPathPattern wave-e-round3.postgres|2026-08-22T16:13:57.9903548Z|2026-08-22T16:14:08.3530807Z|10.362|0|1 passed, 1 total|19 passed, 19 total|PASS|41_PRIOR_E_R3.txt
