id	category	expectedCode	actualCode	pass
CI-DUP-ID	duplicate_refundId	DUPLICATE_REFUND_ID	DUPLICATE_REFUND_ID	PASS
CI-DUP-ID-2	duplicate_refundId	DUPLICATE_REFUND_ID	DUPLICATE_REFUND_ID	PASS
CI-NEG-CAP-REV	negative_capacity	NEGATIVE_CAPACITY	NEGATIVE_CAPACITY	PASS
CI-NEG-CAP-COMM	negative_capacity	NEGATIVE_CAPACITY	NEGATIVE_CAPACITY	PASS
CI-NEG-OBS-REV	negative_observed	NEGATIVE_OBSERVED_ABS	NEGATIVE_OBSERVED_ABS	PASS
CI-NEG-OBS-COMM	negative_observed	NEGATIVE_OBSERVED_ABS	NEGATIVE_OBSERVED_ABS	PASS
CI-ZERO-ZERO-OBS	zero_zero_observed	ZERO_ZERO_OBSERVED	ZERO_ZERO_OBSERVED	PASS
CI-ZERO-ZERO-OBS-2	zero_zero_observed	ZERO_ZERO_OBSERVED	ZERO_ZERO_OBSERVED	PASS
CI-NEG-PROPOSAL	negative_proposal	INVALID_PROPOSAL	INVALID_PROPOSAL	PASS
CI-NEG-PROPOSAL-COMM	negative_proposal	INVALID_PROPOSAL	INVALID_PROPOSAL	PASS
CI-PROPOSAL-ZERO-ZERO	proposal_zero_zero	INVALID_PROPOSAL	INVALID_PROPOSAL	PASS
CI-NONPOS-BASIS	non_positive_basis	NON_POSITIVE_REFUND_BASIS	NON_POSITIVE_REFUND_BASIS	PASS
CI-NONPOS-BASIS-NEG	non_positive_basis	NON_POSITIVE_REFUND_BASIS	NON_POSITIVE_REFUND_BASIS	PASS
CI-NONPOS-DENOM	non_positive_denominator	NON_POSITIVE_DENOMINATOR	NON_POSITIVE_DENOMINATOR	PASS
CI-NONPOS-DENOM-NEG	non_positive_denominator	NON_POSITIVE_DENOMINATOR	NON_POSITIVE_DENOMINATOR	PASS
CI-AGG-REV	aggregate_revenue_exceeds	AGGREGATE_EXCEEDS_CAPACITY	AGGREGATE_EXCEEDS_CAPACITY	PASS
CI-AGG-REV-2	aggregate_revenue_exceeds	AGGREGATE_EXCEEDS_CAPACITY	AGGREGATE_EXCEEDS_CAPACITY	PASS
CI-AGG-REV-3	aggregate_revenue_exceeds	AGGREGATE_EXCEEDS_CAPACITY	AGGREGATE_EXCEEDS_CAPACITY	PASS
CI-AGG-COMM	aggregate_commission_exceeds	AGGREGATE_EXCEEDS_CAPACITY	AGGREGATE_EXCEEDS_CAPACITY	PASS
CI-AGG-COMM-2	aggregate_commission_exceeds	AGGREGATE_EXCEEDS_CAPACITY	AGGREGATE_EXCEEDS_CAPACITY	PASS
CI-SAT-REV	saturated_revenue_not_exhausted	SATURATED_REVENUE_NOT_EXHAUSTED	SATURATED_REVENUE_NOT_EXHAUSTED	PASS
CI-SAT-REV-2	saturated_revenue_not_exhausted	SATURATED_REVENUE_NOT_EXHAUSTED	SATURATED_REVENUE_NOT_EXHAUSTED	PASS
CI-SAT-COMM	saturated_commission_not_exhausted	SATURATED_COMMISSION_NOT_EXHAUSTED	SATURATED_COMMISSION_NOT_EXHAUSTED	PASS
CI-SAT-COMM-2	saturated_commission_not_exhausted	SATURATED_COMMISSION_NOT_EXHAUSTED	SATURATED_COMMISSION_NOT_EXHAUSTED	PASS
CI-MULTI-REV-SAT	multiple_revenue_saturators	MULTIPLE_REVENUE_SATURATORS	MULTIPLE_REVENUE_SATURATORS	PASS
CI-MULTI-REV-SAT-3	multiple_revenue_saturators	MULTIPLE_REVENUE_SATURATORS	MULTIPLE_REVENUE_SATURATORS	PASS
CI-MULTI-COMM-SAT	multiple_commission_saturators	MULTIPLE_COMMISSION_SATURATORS	MULTIPLE_COMMISSION_SATURATORS	PASS
CI-MULTI-COMM-SAT-2	multiple_commission_saturators	MULTIPLE_COMMISSION_SATURATORS	MULTIPLE_COMMISSION_SATURATORS	PASS
CI-LEGACY-OBS-EXCEEDS	legacy_observed_exceeds_proposal	OBSERVED_EXCEEDS_PROPOSAL	OBSERVED_EXCEEDS_PROPOSAL	PASS
CI-LEGACY-OBS-EXCEEDS-2	legacy_observed_exceeds_proposal	OBSERVED_EXCEEDS_PROPOSAL	OBSERVED_EXCEEDS_PROPOSAL	PASS
