id	category	economicKey
CI-DUP-ID	duplicate_refundId	0.05::0.02::0.07::0.01|0.00|0.01|0.00|0.01;0.01|0.00|0.01|0.00|0.01
CI-DUP-ID-2	duplicate_refundId	0.10::0.04::0.10::0.02|0.01|0.02|0.01|0.04;0.03|0.01|0.03|0.01|0.05
CI-NEG-CAP-REV	negative_capacity	-1.00::0.02::0.07::0.01|0.00|0.01|0.00|0.01;0.01|0.00|0.01|0.00|0.01;0.01|0.01|0.01|0.00|0.02;0.01|0.01|0.01|0.01|0.02;0.01|0.01|0.01|0.01|0.02
CI-NEG-CAP-COMM	negative_capacity	0.05::-1.00::0.07::0.01|0.00|0.01|0.00|0.01;0.01|0.00|0.01|0.00|0.01;0.01|0.01|0.01|0.00|0.02;0.01|0.01|0.01|0.01|0.02;0.01|0.01|0.01|0.01|0.02
CI-NEG-OBS-REV	negative_observed	0.05::0.02::0.07::0.01|0.00|-0.01|0.00|0.01
CI-NEG-OBS-COMM	negative_observed	0.05::0.02::0.07::0.01|0.00|0.01|-0.01|0.01
CI-ZERO-ZERO-OBS	zero_zero_observed	0.05::0.02::0.07::0.01|0.00|0.00|0.00|0.01
CI-ZERO-ZERO-OBS-2	zero_zero_observed	0.20::0.04::0.20::0.05|0.01|0.00|0.00|0.05
CI-NEG-PROPOSAL	negative_proposal	0.05::0.02::0.07::-0.01|0.00|0.01|0.00|0.01
CI-NEG-PROPOSAL-COMM	negative_proposal	0.05::0.02::0.07::0.01|-0.01|0.01|0.00|0.01
CI-PROPOSAL-ZERO-ZERO	proposal_zero_zero	0.05::0.02::0.07::0.00|0.00|0.01|0.00|0.01
CI-NONPOS-BASIS	non_positive_basis	0.05::0.02::0.07::0.01|0.00|0.01|0.00|0.00
CI-NONPOS-BASIS-NEG	non_positive_basis	0.05::0.02::0.07::0.01|0.00|0.01|0.00|-0.01
CI-NONPOS-DENOM	non_positive_denominator	0.05::0.02::0.00::0.01|0.00|0.01|0.00|0.01;0.01|0.00|0.01|0.00|0.01;0.01|0.01|0.01|0.00|0.02;0.01|0.01|0.01|0.01|0.02;0.01|0.01|0.01|0.01|0.02
CI-NONPOS-DENOM-NEG	non_positive_denominator	0.05::0.02::-0.01::0.01|0.00|0.01|0.00|0.01;0.01|0.00|0.01|0.00|0.01;0.01|0.01|0.01|0.00|0.02;0.01|0.01|0.01|0.01|0.02;0.01|0.01|0.01|0.01|0.02
CI-AGG-REV	aggregate_revenue_exceeds	0.03::0.02::0.07::0.01|0.00|0.01|0.00|0.01;0.01|0.00|0.01|0.00|0.01;0.01|0.01|0.01|0.00|0.02;0.01|0.01|0.01|0.01|0.02;0.01|0.01|0.01|0.01|0.02
CI-AGG-REV-2	aggregate_revenue_exceeds	0.02::0.04::0.10::0.05|0.02|0.05|0.02|0.05
CI-AGG-REV-3	aggregate_revenue_exceeds	0.08::0.03::0.10::0.05|0.01|0.05|0.01|0.05;0.05|0.01|0.05|0.01|0.05
CI-AGG-COMM	aggregate_commission_exceeds	0.05::0.01::0.07::0.02|0.01|0.02|0.01|0.03;0.02|0.01|0.02|0.01|0.03
CI-AGG-COMM-2	aggregate_commission_exceeds	0.10::0.01::0.10::0.05|0.02|0.05|0.02|0.05
CI-SAT-REV	saturated_revenue_not_exhausted	0.05::0.02::0.07::0.01|0.00|0.04|0.00|0.08
CI-SAT-REV-2	saturated_revenue_not_exhausted	0.06::0.02::0.10::0.06|0.02|0.05|0.02|0.10
CI-SAT-COMM	saturated_commission_not_exhausted	0.05::0.02::0.07::0.05|0.02|0.05|0.01|0.08
CI-SAT-COMM-2	saturated_commission_not_exhausted	0.08::0.03::0.10::0.08|0.03|0.08|0.02|0.10
CI-MULTI-REV-SAT	multiple_revenue_saturators	0.12::0.04::0.10::0.04|0.02|0.06|0.02|0.05;0.04|0.02|0.06|0.02|0.05
CI-MULTI-REV-SAT-3	multiple_revenue_saturators	0.14::0.04::0.10::0.04|0.02|0.06|0.02|0.04;0.04|0.02|0.06|0.02|0.04
CI-MULTI-COMM-SAT	multiple_commission_saturators	0.10::0.08::0.10::0.05|0.03|0.05|0.04|0.05;0.05|0.03|0.05|0.04|0.05
CI-MULTI-COMM-SAT-2	multiple_commission_saturators	0.12::0.06::0.10::0.06|0.02|0.06|0.03|0.05;0.06|0.02|0.06|0.03|0.05
CI-LEGACY-OBS-EXCEEDS	legacy_observed_exceeds_proposal	1.00::0.10::0.00::0.10|0.01|0.20|0.01|0.00
CI-LEGACY-OBS-EXCEEDS-2	legacy_observed_exceeds_proposal	0.50::0.05::0.00::0.05|0.01|0.05|0.03|0.00
